run_id,config_id,skip_step,skip_reason,matching_signature_id,matching_signature_type,matching_signature_cond,signature_conf_at_skip,signature_n_fail,signature_n_counter,is_subsumed_product,ground_truth_feasible
PA-DSE_phago+Full_matmul_B80_sNone_8799992,167,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,275,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,227,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,179,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,131,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,257,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,209,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,161,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,269,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,221,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,125,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,260,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,212,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,164,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,116,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,272,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,176,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,128,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,261,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,213,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,165,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,117,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,254,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,206,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+Full_matmul_B80_sNone_8799992,158,68,rpe_signature,83600,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
